block_num,run,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,1,13,-30,-51.9615242270663,60,-1.46952762458685e-14,2,1.6,1.8,encoding,15,50,-1,119.349642153829
1,1,4,-60,7.34763812293426e-15,-30,-51.9615242270663,2,1,1.4,encoding,15,50,-1,292.415143372491
1,1,11,-30,-51.9615242270663,-60,7.34763812293426e-15,2,1.2,1.8,encoding,15,50,-1,330.904746931046
1,1,6,30,51.9615242270663,30,-51.9615242270663,2,2,1,encoding,15,50,-1,183.331915475428
1,1,13,-30,51.9615242270663,60,-1.46952762458685e-14,2,1.6,2,encoding,15,50,-1,171.793785458431
1,1,6,-30,51.9615242270663,30,-51.9615242270663,2,1.8,1.4,encoding,15,50,-1,143.367008110508
1,1,8,-30,-51.9615242270663,-30,51.9615242270663,2,1.4,2,encoding,15,50,-1,76.2883618567139
1,1,8,60,-1.46952762458685e-14,-30,51.9615242270663,2,1,1.4,encoding,15,50,-1,279.246442755684
1,1,1,30,-51.9615242270663,30,51.9615242270663,2,1.8,1.8,encoding,15,50,-1,240.868146596476
1,1,4,30,-51.9615242270663,-30,-51.9615242270663,2,1.4,1.6,encoding,15,50,-1,144.989445665851
1,1,11,30,-51.9615242270663,-60,7.34763812293426e-15,2,2,1.8,encoding,15,50,-1,49.9203179776669
1,1,4,60,-1.46952762458685e-14,-30,-51.9615242270663,2,2,1.6,encoding,15,50,-1,232.511042961851
1,1,8,30,-51.9615242270663,-30,51.9615242270663,2,1,1.4,encoding,15,50,-1,4.58094276487827
1,1,4,30,51.9615242270663,-30,-51.9615242270663,2,1.4,1.6,encoding,15,50,-1,138.706967839971
1,1,6,-30,-51.9615242270663,30,-51.9615242270663,2,1,2,encoding,15,50,-1,245.57148241438
1,1,1,60,-1.46952762458685e-14,30,51.9615242270663,2,1.2,2,encoding,15,50,-1,219.220418091863
1,1,8,30,51.9615242270663,-30,51.9615242270663,2,1.4,2,encoding,15,50,-1,204.343973686919
1,1,11,60,-1.46952762458685e-14,-60,7.34763812293426e-15,2,2,1.6,encoding,15,50,-1,93.9079950470477
1,1,1,-30,51.9615242270663,30,51.9615242270663,2,2,1.4,encoding,15,50,-1,217.765024825931
1,1,8,-60,7.34763812293426e-15,-30,51.9615242270663,2,2,1,encoding,15,50,-1,351.469135740772
1,1,1,-60,7.34763812293426e-15,30,51.9615242270663,2,1.2,1.2,encoding,15,50,-1,294.36878470704
1,1,11,30,51.9615242270663,-60,7.34763812293426e-15,2,1.4,1.8,encoding,15,50,-1,96.7692052200437
1,1,11,-30,51.9615242270663,-60,7.34763812293426e-15,2,1,1.8,encoding,15,50,-1,204.988728873432
1,1,13,30,-51.9615242270663,60,-1.46952762458685e-14,2,1.8,1,encoding,15,50,-1,281.246582027525
1,1,6,60,-1.46952762458685e-14,30,-51.9615242270663,2,1,1.2,encoding,15,50,-1,26.488872282207
1,1,1,-30,-51.9615242270663,30,51.9615242270663,2,2,1.2,encoding,15,50,-1,14.3856520392001
1,1,6,-60,7.34763812293426e-15,30,-51.9615242270663,2,1.2,1,encoding,15,50,-1,180.222469624132
1,1,4,-30,51.9615242270663,-30,-51.9615242270663,2,1,1.4,encoding,15,50,-1,45.8592702168971
1,1,13,30,51.9615242270663,60,-1.46952762458685e-14,2,1,2,encoding,15,50,-1,61.7245554830879
1,1,13,-60,7.34763812293426e-15,60,-1.46952762458685e-14,2,1,1.8,encoding,15,50,0,136.260669836774
